case_id,record_id,task_type,scenario_family,candidate_agent,candidate_cluster_type,task_profile,contextual_warning,expected_action,expected_reason,expected_safe_host,utility
S4_ALI_00001_C1,ALI_00001,online_stream_inference,dynamic_workload,A1,general_gpu_edge,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.24 GPU units and has observed duration 1437.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,accept,resource_feasible,A3,0.4754
S4_ALI_00001_C2,ALI_00001,online_stream_inference,dynamic_workload,A2,energy_efficient_edge,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.24 GPU units and has observed duration 1437.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,accept,resource_feasible,A3,0.4354
S4_ALI_00001_C3,ALI_00001,online_stream_inference,dynamic_workload,A3,low_latency_gpu_edge,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.24 GPU units and has observed duration 1437.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,accept,best_utility_feasible,A3,0.6017
S4_ALI_00001_C4,ALI_00001,online_stream_inference,dynamic_workload,A4,privacy_trusted_edge,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.24 GPU units and has observed duration 1437.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,accept,resource_feasible,A3,0.4598
S4_ALI_00001_C5,ALI_00001,online_stream_inference,dynamic_workload,A5,burstable_gpu_edge,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.24 GPU units and has observed duration 1437.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,accept,resource_feasible,A3,0.3182
S4_ALI_00002_C1,ALI_00002,generative_ai_stream_inference,conflict_resolution,A1,general_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.66 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,0.1808
S4_ALI_00002_C2,ALI_00002,generative_ai_stream_inference,conflict_resolution,A2,energy_efficient_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.66 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.2259
S4_ALI_00002_C3,ALI_00002,generative_ai_stream_inference,conflict_resolution,A3,low_latency_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.66 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.3204
S4_ALI_00002_C4,ALI_00002,generative_ai_stream_inference,conflict_resolution,A4,privacy_trusted_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.66 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,refuse,resource_overload,NONE,0.2441
S4_ALI_00002_C5,ALI_00002,generative_ai_stream_inference,conflict_resolution,A5,burstable_gpu_edge,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.66 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information; resource_contention_risk,refuse,resource_overload,NONE,0.0319
