case_id,record_id,task_type,scenario_family,task_profile,contextual_warning,expected_cfp_intent,expected_cfp_keywords,expected_refinement_focus,expected_refinement_agents,expected_final_host,feasible_agents,unsafe_agents,cluster_utilities,has_feasible_host
S4B_001,ALI_00005,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.2864;C2:0.3263;C3:0.4846;C4:0.3958;C5:0.1292,True
S4B_002,ALI_00437,background_stream_analytics,data_drift,"Deploy a lower-priority offline inference workload of type unknown as an edge stream task. The workload requests 0.25 GPU units and has observed duration 0.02 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,background_stream_analytics;data_drift;drift_awareness,drift,A3;A4;A5,A3,A3;A4;A5,A1;A2,C1:0.4282;C2:0.4112;C3:0.5389;C4:0.4874;C5:0.3882,True
S4B_003,ALI_00001,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.24 GPU units and has observed duration 1437.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,A3;A1;A4,A3,A1;A2;A3;A4;A5,NONE,C1:0.4754;C2:0.4354;C3:0.6017;C4:0.4598;C5:0.3182,True
S4B_004,ALI_00052,recommendation_stream,unseen_task,"Deploy a lower-priority training workload of type rec as an edge stream task. The workload requests 0.50 GPU units and has observed duration 0.74 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: user_profile_awareness.",,resource_aware_offloading,recommendation_stream;unseen_task;user_profile_awareness,resource,A1,A1,A1,A2;A3;A4;A5,C1:0.4691;C2:0.452;C3:0.4998;C4:0.4482;C5:0.349,True
S4B_005,ALI_00013,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.11 GPU units and has observed duration 1.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.4598;C2:0.4547;C3:0.613;C4:0.5242;C5:0.3026,True
S4B_006,ALI_00457,background_stream_analytics,data_drift,"Deploy a lower-priority offline inference workload of type unknown as an edge stream task. The workload requests 0.25 GPU units and has observed duration 0.02 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,background_stream_analytics;data_drift;drift_awareness,drift,A3;A4;A5,A3,A3;A4;A5,A1;A2,C1:0.5146;C2:0.4975;C3:0.6253;C4:0.5737;C5:0.4746,True
S4B_007,ALI_00105,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.06 GPU units and has observed duration 1703.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,A3;A4;A1,A3,A1;A2;A3;A4;A5,NONE,C1:0.4723;C2:0.4322;C3:0.5986;C4:0.5017;C5:0.3151,True
S4B_008,ALI_00069,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.23 GPU units and has observed duration 2.32 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.363;C2:0.3594;C3:0.5076;C4:0.3962;C5:0.3124,True
S4B_009,ALI_00030,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.18 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.373;C2:0.4129;C3:0.5712;C4:0.4824;C5:0.2284,True
S4B_010,ALI_00470,background_stream_analytics,data_drift,"Deploy a lower-priority offline inference workload of type unknown as an edge stream task. The workload requests 0.25 GPU units and has observed duration 0.03 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,background_stream_analytics;data_drift;drift_awareness,drift,A3;A4;A5,A3,A3;A4;A5,A1;A2,C1:0.4607;C2:0.4437;C3:0.6164;C4:0.5648;C5:0.4207,True
S4B_011,ALI_00169,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.06 GPU units and has observed duration 240.52 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,A3;A4;A1,A3,A1;A2;A3;A4;A5,NONE,C1:0.5336;C2:0.4935;C3:0.6562;C4:0.563;C5:0.4214,True
S4B_012,ALI_00116,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 23.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.4766;C2:0.4554;C3:0.6216;C4:0.4648;C5:0.3634,True
S4B_013,ALI_00035,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.07 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.3156;C2:0.3556;C3:0.5139;C4:0.4251;C5:0.1836,True
S4B_014,ALI_00962,background_stream_analytics,data_drift,"Deploy a lower-priority offline inference workload of type unknown as an edge stream task. The workload requests 0.33 GPU units and has observed duration 78.59 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,background_stream_analytics;data_drift;drift_awareness,drift,A3;A4;A5,A3,A3;A4;A5,A1;A2,C1:0.4533;C2:0.4362;C3:0.564;C4:0.5124;C5:0.4132,True
S4B_015,ALI_00121,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.46 GPU units and has observed duration 407.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,A3,A3,A3,A1;A2;A4;A5,C1:0.3477;C2:0.3441;C3:0.4998;C4:0.3359;C5:0.2521,True
S4B_016,ALI_00045,computer_vision_stream,conflict_resolution,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 1.16 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,computer_vision_stream;conflict_resolution;conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,latency;bandwidth;conflict;priority,A3;A4;A2,A3,A2;A3;A4,A1;A5,C1:0.3296;C2:0.3695;C3:0.5278;C4:0.439;C5:0.1724,True
