record_id,pod_id,workload_id,gpu_spec,priority_class,job_type,model_type,scenario_family,stream_task_type,gpu_request_norm,latency_deadline_ms,bandwidth_request_norm,semantic_requirements,qualitative_warnings,natural_language_request
ALI_00001,0ccbed7284ab5fa6382c439c321c7a23,missing_workload_00001,A10,HP,online_inference,unknown,dynamic_workload,online_stream_inference,0.24,70,0.16,low_latency;priority_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 0.24 GPU units and has observed duration 1437.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness."
ALI_00002,62985c359d9a137ccc73423ba8bcce11,missing_workload_00002,XPU-E,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.66 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
ALI_00003,da8066c2c91f2a688afd131bf9cb15d8,missing_workload_00003,L20,HP,online_inference,genai,dynamic_workload,generative_ai_stream_inference,1.0,70,0.35,genai_acceleration;low_latency;priority_awareness,long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 408.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness."
ALI_00004,4d9d01510417aa2e7fc265305c878639,f827a90b4737cc6b9eead9f57f0a030b,XPU-E,HP,online_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,70,0.35,conflict_awareness;genai_acceleration;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 764.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation."
ALI_00005,c7aadf5f3d27d9f1384e9f416acd4b23,missing_workload_00005,A10,HP,online_inference,cv,conflict_resolution,computer_vision_stream,0.31,70,0.2975,conflict_awareness;high_bandwidth;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 0.31 GPU units and has observed duration 0.29 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, high_bandwidth, low_latency, priority_awareness, resource_reservation."
ALI_00006,dba30572dc76a1a793145739ad144ef2,missing_workload_00006,XPU-E,LP,offline_inference,genai,data_drift,generative_ai_stream_inference,1.0,160,0.35,drift_awareness;genai_acceleration,lower-urgency stream analytics may hide delayed workload bursts,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.37 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration."
ALI_00007,1538f94daa381e2f0f01c47e378e6b04,missing_workload_00007,XPU-E,HP,online_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,70,0.35,conflict_awareness;genai_acceleration;low_latency;priority_awareness;resource_reservation,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1223.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation."
ALI_00008,b942f407b44d44e057cdbf1c4ec8860a,2ef8a21c3973151464571441bf2588df,XPU-B,HP,online_inference,rec,unseen_task,recommendation_stream,1.0,50,0.35,low_latency;priority_awareness;user_profile_awareness,long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1631.97 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness."
ALI_00009,7066b1776bb2dbe868d164ab1c2a9987,54559265d7522bd87be201e08446198f,XPU-E,HP,online_inference,rec,conflict_resolution,recommendation_stream,1.0,70,0.35,conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 545.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness."
ALI_00010,88439f7eea571d665cdb413734c8e5b3,missing_workload_00010,XPU-A,LP,offline_inference,genai,conflict_resolution,generative_ai_stream_inference,1.0,80,0.35,conflict_awareness;genai_acceleration;resource_reservation,high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.83 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation."
